Date,Close Price,High Price,Low Price,Open Price,Volume
04-01-2010,6.431896687,6.446623174,6.382908443,6.41446526,493729600
05-01-2010,6.443016529,6.479382124,6.409054923,6.449628601,601904800
06-01-2010,6.340532303,6.468563265,6.33392023,6.443017022,552160000
07-01-2010,6.328810215,6.371487736,6.282827461,6.363974017,477131200
08-01-2010,6.370885372,6.371486871,6.283127959,6.320394394,447610800
11-01-2010,6.314685345,6.401541521,6.264795058,6.395530546,462229600
12-01-2010,6.242855549,6.304467242,6.203785414,6.287035012,594459600
13-01-2010,6.330913067,6.33932843,6.134058886,6.247363338,605892000
14-01-2010,6.294248581,6.325204702,6.281926483,6.314685896,432894000
15-01-2010,6.189058304,6.359465821,6.187255011,6.339329056,594067600
19-01-2010,6.462852001,6.467360232,6.228430004,6.261188613,730007600
20-01-2010,6.363373756,6.478180175,6.296352585,6.458945455,612152800
21-01-2010,6.253373146,6.410857455,6.22752676,6.373891168,608154400
22-01-2010,5.943216801,6.236245074,5.925485223,6.214606362,881767600
25-01-2010,6.103102684,6.152090516,6.016546667,6.086272358,1065699600
26-01-2010,6.189360142,6.422881335,6.088378156,6.189660691,1867110000
27-01-2010,6.247666359,6.328812137,5.996713297,6.21671023,1722568400
28-01-2010,5.989498138,6.176134879,5.971766567,6.159004404,1173502400
29-01-2010,5.77220726,6.07695687,5.71780914,6.043296213,1245952400
01-02-2010,5.852450848,5.89061973,5.74936505,5.781522959,749876400
02-02-2010,5.886412144,5.900237384,5.811878071,5.887915289,698342400
03-02-2010,5.987696171,6.016849001,5.843135416,5.865676174,615328000
04-02-2010,5.771907806,5.961849824,5.757481465,5.912560625,757652000
05-02-2010,5.874391556,5.89062119,5.73584178,5.78933866,850306800
08-02-2010,5.834117413,5.94712131,5.830510828,5.881302753,478270800
09-02-2010,5.896331787,5.935702474,5.853053565,5.903244008,632886800
10-02-2010,5.864172459,5.90865327,5.83832607,5.887313909,370361600
11-02-2010,5.970864773,6.003323634,5.832315019,5.856959613,550345600
12-02-2010,6.022257805,6.060126142,5.875593235,5.954034447,655468800
16-02-2010,6.113023758,6.121739273,6.05652178,6.06914443,543737600
17-02-2010,6.087476254,6.14037123,6.036683915,6.136764645,436396800
18-02-2010,6.098894596,6.127746868,6.038485516,6.05982367,422825200
19-02-2010,6.061027527,6.107010681,6.044197199,6.066738354,415469600
22-02-2010,6.023462296,6.085975255,5.986495989,6.081166875,390563600
23-02-2010,5.922476768,6.050808248,5.8819039,6.010836076,575094800
24-02-2010,6.030674934,6.05411694,5.945921372,5.957642776,460566400
25-02-2010,6.07094574,6.096792129,5.917368944,5.932095431,665126000
26-02-2010,6.149687767,6.166217547,6.070946,6.082366451,507460800
01-03-2010,6.281023502,6.296350682,6.174631278,6.183647337,550093600
02-03-2010,6.276818752,6.336325813,6.243458235,6.309276821,566546400
03-03-2010,6.291243076,6.30747271,6.249468401,6.279522477,372052800
04-03-2010,6.332718849,6.339030374,6.270205899,6.289741974,366041200
05-03-2010,6.580363274,6.602904025,6.450529045,6.459846054,899620400
