row_id,Healthy
1,Yes
2,Yes
3,Yes
4,Yes
5,No
6,Yes
7,Yes
8,Yes
9,Yes
10,Yes
11,No
12,Yes
13,No
14,Yes
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
20,Yes
21,Yes
22,Yes
23,Yes
24,No
25,Yes
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,Yes
32,Yes
33,Yes
34,No
35,No
36,No
37,Yes
38,Yes
39,No
40,No
41,Yes
42,Yes
43,Yes
44,No
45,Yes
46,Yes
47,Yes
48,Yes
49,Yes
50,Yes
51,No
52,Yes
53,Yes
54,Yes
55,No
56,Yes
57,No
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,No
69,Yes
70,Yes
71,Yes
72,Yes
73,No
74,Yes
75,No
76,No
77,Yes
78,Yes
79,Yes
80,Yes
81,Yes
82,Yes
83,Yes
84,No
85,Yes
86,Yes
87,Yes
88,Yes
89,Yes
90,Yes
91,Yes
92,Yes
93,Yes
94,Yes
95,No
96,Yes
97,No
98,Yes
99,Yes
100,No
101,Yes
102,Yes
103,No
104,Yes
105,Yes
106,Yes
107,Yes
108,No
109,No
110,Yes
111,Yes
112,Yes
113,Yes
114,No
115,Yes
116,No
117,Yes
118,Yes
119,Yes
120,No
121,No
122,Yes
123,Yes
124,Yes
125,Yes
126,Yes
127,Yes
128,No
129,Yes
130,No
131,Yes
132,Yes
133,Yes
134,No
135,Yes
136,No
137,Yes
138,No
139,Yes
140,Yes
141,Yes
142,No
143,Yes
144,Yes
145,Yes
146,No
147,Yes
148,Yes
149,Yes
150,Yes
151,Yes
152,Yes
153,Yes
154,Yes
155,Yes
156,Yes
157,No
158,No
159,Yes
160,No
161,Yes
162,Yes
163,Yes
164,Yes
165,Yes
166,No
167,Yes
168,Yes
169,Yes
170,No
171,No
172,No
173,Yes
174,Yes
175,No
176,No
177,No
178,Yes
179,Yes
180,Yes
181,Yes
182,Yes
183,Yes
184,Yes
185,Yes
186,No
187,Yes
188,No
189,No
190,Yes
191,No
192,No
